CaseId,Evaluation
200001,0.0
200002,0.0
200003,0.12461692914115842
200004,0.2862487365938104
200005,0.0
200006,0.0
200007,0.18113131313131306
200008,0.0
200009,0.0
200010,0.12116448029975879
200011,0.0
200012,0.8552592504285392
200013,0.0
200014,0.0
200015,0.2862487365938104
200016,0.0
200017,0.7453134715489024
200018,0.0
200019,0.8687188143101594
200020,0.0
200021,0.01969727416816343
200022,0.0
200023,0.4968136159388427
200024,0.0
200025,0.0
200026,0.0
200027,0.0
200028,0.0
200029,0.0
200030,0.0
200031,0.0
200032,0.0
200033,1.0
200034,0.0
200035,0.0
200036,0.0
200037,0.5407907890836718
200038,0.0
200039,0.0
200040,0.0
200041,0.0
200042,0.0
200043,0.0
200044,0.0
200045,0.0
200046,0.00798018633798553
200047,0.0
200048,0.0
200049,0.0
200050,0.002150385964487712
200051,0.06463492063492064
200052,0.0
200053,0.0
200054,0.0
200055,0.0
200056,0.00798018633798553
200057,0.0
200058,0.0
200059,0.0
200060,0.38396918165051
200061,0.33664928634028685
200062,0.7703328466961439
200063,1.0
200064,0.015084258870649321
200065,0.02938228849383088
200066,0.6470897257870456
200067,0.0
200068,0.0
200069,0.25464517046558777
200070,1.0
200071,0.14019458514848482
200072,0.033276828335520744
200073,0.0
200074,0.843781746031746
200075,0.0
200076,0.0
200077,0.024680757102268983
200078,0.0
200079,0.12461692914115842
200080,0.16328228008701612
200081,1.0
200082,0.36748857811577246
200083,0.12461692914115842
200084,0.0
200085,0.0
200086,0.14019458514848482
200087,0.0
200088,0.30500793650793645
200089,0.3615714038870214
200090,0.01
200091,0.004144391526182949
200092,0.12300757369923636
200093,0.0
200094,0.3632471880945549
200095,0.0
200096,0.0
200097,0.0
200098,0.7453134715489024
200099,0.9225751464782782
200100,0.0
200101,0.0
200102,0.0
200103,0.11739764008312772
200104,0.0
200105,0.0
200106,0.0
200107,0.0
200108,0.6346885749128546
200109,0.0
200110,0.05690288398898103
200111,0.0
200112,0.0
200113,0.0
200114,0.0
200115,0.0
200116,0.12461692914115842
200117,0.0
200118,0.0
200119,0.9611319097053002
200120,0.7375773515254519
200121,0.03
200122,0.12461692914115842
200123,0.009063356940358328
200124,0.07391261274663831
200125,0.0
200126,0.4109552307427694
200127,0.0
200128,0.0
200129,0.026325513366904432
200130,0.0
200131,0.7125476190476189
200132,0.0
200133,0.99
200134,0.0
200135,0.0
200136,0.0
200137,0.12461692914115842
200138,0.0
200139,1.0
200140,0.0
200141,0.0
200142,0.0
200143,0.0
200144,0.0
200145,0.018029466208715244
200146,1.0
200147,0.0
200148,1.0
200149,0.0
200150,0.0
200151,0.0
200152,0.0
200153,0.0
200154,0.0
200155,0.6281688402671566
200156,0.0
200157,0.9946745562130178
200158,0.0
200159,0.0
200160,0.0
200161,0.0
200162,0.0016666666666666666
200163,0.7962417436599335
200164,0.6789998179280115
200165,0.0
200166,0.0
200167,0.0
200168,0.0
200169,0.0
200170,0.0
200171,0.99
200172,0.15523662480980352
200173,0.0
200174,0.0
200175,0.0
200176,0.0
200177,0.0
200178,0.0
200179,0.0
200180,0.0
200181,0.005377780297001546
200182,0.0
200183,0.22890251415251417
200184,0.13403276238705508
200185,0.12116448029975879
200186,0.13444796869796868
200187,0.008086285655376618
200188,0.33664928634028685
200189,0.16328228008701612
200190,0.12461692914115842
200191,0.12116448029975879
200192,0.0
200193,0.0
200194,0.0
200195,0.0
200196,0.20532628046898133
200197,0.0
200198,0.0
200199,0.0
200200,0.0
200201,0.775960658462639
200202,0.11576578546714977
200203,0.3840043697975126
200204,1.0
200205,0.11739764008312772
200206,0.0
200207,0.0
200208,0.0
200209,0.5241937198856855
200210,0.4298520129629984
200211,0.0
200212,0.0
200213,0.0
200214,0.3008027331110238
200215,0.6193051080326624
200216,0.3280424865638355
200217,0.002150385964487712
200218,0.12461692914115842
200219,0.18934391448390964
200220,0.05970581914539227
200221,0.20287732880929016
200222,0.0
200223,0.4720513658373116
200224,0.3632471880945549
200225,0.3610022958463259
200226,0.13054960377542024
200227,0.11709798155884377
200228,0.1658916668152269
200229,1.0
200230,0.0
200231,0.2584512990522249
200232,0.0
200233,0.0
200234,0.0
200235,0.6829279970279575
200236,0.292421579552526
200237,1.0
200238,0.0
200239,0.0
200240,0.0
200241,0.7453134715489024
200242,0.06385714285714285
200243,0.9675
200244,0.04801129534651304
200245,0.98
200246,0.057499553051481314
200247,0.9845516606365411
200248,0.0
200249,0.0
200250,0.0
200251,0.0
200252,0.00575
200253,0.0
200254,0.0
200255,0.9222730113987949
200256,0.046644427804023794
200257,0.3810172283655703
200258,0.0
200259,0.8847340479665857
200260,1.0
200261,0.0
200262,0.3810172283655703
200263,0.4720513658373116
200264,0.0
200265,0.0
200266,0.11739764008312772
200267,0.0
200268,0.0
200269,0.0
200270,0.0
200271,0.024166666666666666
200272,0.0
200273,0.0
200274,0.0
200275,0.0
200276,0.0
200277,0.16328228008701612
200278,0.7622268253012683
200279,0.0
200280,0.0
200281,0.0
200282,0.0
200283,0.7653267245848169
200284,0.0
200285,0.24882026447594252
200286,0.0
200287,0.0
200288,0.0
200289,0.28644851431090346
200290,0.0
200291,0.7305493142703183
200292,0.0
200293,0.0
200294,0.0
200295,0.0
200296,0.010194992749235979
200297,0.0
200298,0.0
200299,0.006
200300,0.07
200301,0.0
200302,0.09292635300307898
200303,0.09
200304,0.775960658462639
200305,0.022729968537147482
200306,0.0
200307,0.10325263478961823
200308,0.09981875664726
200309,0.0
200310,0.0
200311,0.004144391526182949
200312,0.025838156819606065
200313,0.0
200314,0.0
200315,0.0
200316,0.0
200317,0.0
200318,0.23406541550914498
200319,0.0
200320,0.0
200321,0.0
200322,0.0
200323,0.0
200324,0.0
200325,0.22305961063156482
200326,0.7825576977642911
200327,0.0
200328,0.0
200329,0.0
200330,0.0
200331,0.5137983902956765
200332,0.36434523809523794
200333,0.05551141946310932
200334,0.014378843671401645
200335,1.0
200336,0.0
200337,0.07400000000000001
200338,0.0
200339,0.0
200340,0.0
200341,0.5060847968234299
200342,0.0
200343,0.23406541550914498
200344,0.0
200345,0.005460733360106778
200346,0.6258053252996578
200347,0.0
200348,0.11739764008312772
200349,0.23406541550914498
200350,0.08997829069271365
200351,0.12116448029975879
200352,0.0
200353,0.025838156819606065
200354,0.0
200355,1.0
200356,0.0
200357,0.7653267245848169
200358,0.0
200359,0.0
200360,0.0
200361,0.3802054514113338
200362,0.0
200363,0.0
200364,0.0
200365,0.20287732880929016
200366,0.0
200367,0.056286049914750086
200368,0.08450002980650513
200369,0.01969727416816343
200370,0.0
200371,0.036218487394957984
200372,0.08183333333333334
200373,0.5368835476674998
200374,0.0
200375,0.022641909128188295
200376,0.292421579552526
200377,0.0
200378,0.002727272727272727
200379,0.0
200380,0.0
200381,0.0
200382,0.018029466208715244
200383,0.0
200384,0.0
200385,0.0
200386,0.0
200387,0.0
200388,0.0
200389,0.2811380834246526
200390,0.65
200391,0.0
200392,0.0
200393,0.0
200394,1.0
200395,0.0
200396,0.09592264517175436
200397,0.0
200398,0.7453134715489024
200399,0.005377780297001546
200400,0.0
200401,0.0
200402,0.056286049914750086
200403,0.056286049914750086
200404,0.704635572087129
200405,0.0
200406,0.1470729548229548
200407,0.0
200408,0.0
200409,0.0
200410,0.005460733360106778
200411,0.3835810754517366
200412,0.20287732880929016
200413,0.0
200414,0.14071707244039472
200415,1.0
200416,0.0
200417,0.0
200418,0.0
200419,0.0
200420,0.0
200421,0.0
200422,0.002150385964487712
200423,0.0
200424,0.0
200425,0.7863509000500234
200426,0.24216128790865343
200427,0.14196836768367077
200428,0.12461692914115842
200429,0.0
200430,0.0
200431,0.0
200432,0.01
200433,0.7496566253328997
200434,0.0
200435,0.0
200436,0.0
200437,0.0
200438,0.2584512990522249
200439,0.0
200440,0.0
200441,0.7846450926524452
200442,0.9423983251380936
200443,0.0
200444,0.08454255930687817
200445,0.009107142857142857
200446,0.0
200447,0.3610022958463259
200448,0.95
200449,0.0
200450,0.3775152688493692
200451,0.3687235089637884
200452,0.0
200453,0.022641909128188295
200454,0.0
200455,0.0
200456,0.0
