id,questions,answers
2254,5639.046316788327,11016.835973379415
2255,5527.457035329195,10649.632049799293
2256,4690.394285072646,9530.854109644277
2257,4725.420156886961,9532.562400282686
2258,5836.488963801031,11178.515930915513
2259,6026.133335644351,11277.782605032884
2260,5965.329526042354,11556.339027863169
2261,5652.696458249544,11042.129970462041
2262,5541.106545080404,10674.92468105947
2263,4704.043163533266,9556.145375988828
2264,4739.068404475944,9557.852302617432
2265,5850.136580936865,11203.804470145269
2266,6039.780322745064,11303.06978206147
2267,5978.975883525512,11581.624843593401
2268,5666.34218653225,11067.414425795743
2269,5554.751644579303,10700.207776897472
2270,4717.687634664541,9581.427113230962
2271,4752.712247655321,9583.132682162537
2272,5863.779796579612,11229.083492891197
2273,6053.42291126599,11328.347448905082
2274,5992.617845338969,11606.901155430573
2275,5679.983522052136,11092.689383521361
2276,5568.39235421906,10725.48138140544
2277,4731.327718837155,9606.699365414199
2278,4766.351706773325,9608.403582912983
2279,5877.418631055084,11254.353043099809
2280,6067.061121510558,11353.615649461839
2281,6006.255431763808,11632.168007224478
2282,5693.62048506797,11117.954887440445
2283,5582.028694236161,10750.74553833675
2284,4744.963436265348,9631.962176243822
2285,4908.941832029869,9935.18552437124
2286,6037.65917992118,11595.882695014405
2287,6124.99292931395,11783.43813569109
2288,6257.006509614324,11941.04732671822
2289,6226.098786375334,11953.24467440357
2290,5687.244116254099,11182.19225950688
2291,4893.008337074943,9951.714901216616
2292,4922.572583446687,9960.437598170041
2293,6051.2893124173725,11621.133430642723
2294,6138.622443294879,11808.687534025365
2295,6270.635405484913,11966.29538863393
2296,6239.7270645400595,11978.491400775241
2297,5700.8717771169995,11207.437651208087
2298,4906.635381039618,9976.958959119976
2299,4936.199010916293,9985.680323147226
2300,6064.91512379463,11646.374823564454
2301,6152.2476389820695,11833.927595761415
2302,6284.2599858838785,11991.534120053126
2303,6253.3510300522075,12003.728802745465
2304,5714.495128143301,11232.67372459628
2305,4920.258117980606,10002.193704792135
2306,4949.821134172069,10010.913741968408
2307,6078.536633764858,11671.606916398778
2308,6165.868536065983,11859.15836347206
2309,6297.880270480276,12016.763563502338
2310,6266.970702559455,12028.956922794556
2311,5728.114188959334,11257.900522105623
2312,4933.876567502928,10027.419180621175
2313,4963.438972797755,10036.137896975662
2314,6092.1538618905515,11696.82975144183
2315,6179.485154087898,11884.379879407566
2316,6473.122083173095,12270.998728509316
2317,6439.013971661169,12209.595236708372
2318,6144.226258048044,11898.40163016053
2319,5281.696441590643,10543.457330197845
2320,5032.781733196677,10145.095277327073
2321,6176.5467074943035,11761.219548131632
2322,6378.876821107184,12097.822829947962
2323,6486.733834577252,12296.209722313291
2324,6452.625116508283,12234.804919073213
2325,6157.836796730074,11923.610001933692
2326,5295.306374499127,10568.664392225872
2327,5046.391060722732,10170.301030455603
2328,6190.155430028625,11786.42399320539
2329,6392.48493904005,12123.025967810763
2330,6500.341348298518,12321.411553808048
2331,6466.232026407387,12260.005445041927
2332,6171.443103196035,11948.809223217466
2333,5308.912077920548,10593.862309664906
2334,5059.9961614877975,10195.49764488919
2335,6203.759928525104,11811.61930547193
2336,6406.088835655296,12148.219978747751
2337,6513.944643419469,12346.604264252088
2338,6479.834720420567,12285.19685582872
2339,6185.045196487553,11973.999335181823
2340,5322.513570876102,10619.051123640746
2341,5073.597054492671,10220.685161709533
2342,6217.360221964172,11836.805525968912
2343,6419.688529913015,12173.404903752617
2344,6509.512359240769,12335.397594049495
2345,6441.878680425776,12217.124776964043
2346,6151.639912921907,11938.385255534058
2347,5290.503443304309,10579.120450572173
2348,5066.037065261149,10185.987019863678
2349,6201.860634226965,11832.1116872419
2350,6479.741572203077,12246.84634155034
2351,6523.107273839154,12360.572184935945
2352,6455.472999284557,12242.298079799777
2353,6165.2336364214625,11963.557271141499
2354,5304.096571824617,10604.29117977287
2355,5079.6295991817815,10211.156463478308
2356,6215.452573927092,11857.279846090267
2357,6493.332918061465,12272.013216451373
2358,6536.698026234168,12385.737776707709
2359,6469.063158594157,12267.462389259466
2360,6178.823203023214,11988.720299105442
2361,5317.6855460956795,10629.452927056527
2362,5093.217981498917,10236.316930896279
2363,6229.040364666661,11882.439034456282
2364,6506.920117599433,12297.171126578307
2365,6550.284634946099,12410.894409407572
2366,6482.6491768552205,12292.617745343412
2367,6192.40863120818,12013.874379383762
2368,5331.270384578923,10654.605732338661
2369,5106.802230654417,10261.468461990806
2370,6242.624024868003,11907.589292170931
2371,6520.503189219805,12322.320111719951
2372,6563.867118358297,12436.042122782239
2373,6496.231072431648,12317.764187756267
2374,6205.989939320843,12039.019551639132
2375,5205.879076951075,10291.563530742897
2376,5197.15694418183,10263.947730293045
2377,6483.189065279581,12078.797008444
2378,6714.321430469933,12493.060860476222
2379,6753.0545807714425,12621.926410000066
2380,6735.388519725606,12523.393664672609
2381,6387.489271607473,12089.971158697017
2382,5219.455698699036,10316.698570592504
2383,5210.732981796533,10289.081507186062
2384,6496.7645191291385,12103.929523176326
2385,6727.896300922072,12518.192113842919
2386,6766.628868193505,12647.056402795362
2387,6748.962224484547,12548.522397689903
2388,6401.062394069862,12115.09863272887
2389,5233.02823923106,10341.82478643065
2390,5224.3049407639965,10314.206465621406
2391,6510.335896897461,12129.053224998943
2392,6741.46709785629,12543.314559842054
2393,6780.199084658273,12672.177593759443
2394,6762.531860844139,12573.642334406524
2395,6414.631450688174,12140.217315984808
2396,5246.596716471602,10366.942217011856
2397,5237.872838989902,10339.322644313013
